"Issue Number","Issue URL","Title","Priority","Lane","Surface","Coupling","Wave","Effort"
"59","https://github.com/Ange230700/kraak-consulting/issues/59","[TASK][ARC-01] Valider architecture cible web/mobile/api avec scope MVP","critical","Shared handoff","docs","handoff","Wave 0 - Cadrage",""
"60","https://github.com/Ange230700/kraak-consulting/issues/60","[TASK][ARC-02] Definir conventions repo (naming, structure, quality gates)","critical","Shared handoff","docs","handoff","Wave 0 - Cadrage",""
"61","https://github.com/Ange230700/kraak-consulting/issues/61","[TASK][ARC-03] Definir strategie de rendu web (SEO/prerender)","critical","Shared handoff","docs","handoff","Wave 0 - Cadrage",""
"62","https://github.com/Ange230700/kraak-consulting/issues/62","[TASK][ARC-04] Definir modeles de donnees MVP","critical","Shared handoff","docs","handoff","Wave 0 - Cadrage",""
"63","https://github.com/Ange230700/kraak-consulting/issues/63","[TASK][ARC-05] Documenter ADRs et criteres anti-scope-creep","high","Shared handoff","docs","handoff","Wave 0 - Cadrage",""
"64","https://github.com/Ange230700/kraak-consulting/issues/64","[TASK][SET-01] Initialiser workspace Angular monorepo (apps/web, apps/mobile)","critical","Shared handoff","shared","handoff","Wave 1 - Socle",""
"65","https://github.com/Ange230700/kraak-consulting/issues/65","[TASK][SET-02] Initialiser apps/api NestJS et wiring de base","critical","Shared handoff","shared","handoff","Wave 1 - Socle",""
"66","https://github.com/Ange230700/kraak-consulting/issues/66","[TASK][SET-03] Configurer quality gates (lint, format, typecheck)","critical","Shared handoff","shared","handoff","Wave 1 - Socle",""
"67","https://github.com/Ange230700/kraak-consulting/issues/67","[TASK][SET-04] Configurer test runners unitaires + integration","critical","Shared handoff","shared","handoff","Wave 1 - Socle",""
"68","https://github.com/Ange230700/kraak-consulting/issues/68","[TASK][SET-05] Configurer Playwright E2E et smoke pipeline","critical","Shared handoff","shared","handoff","Wave 1 - Socle",""
"69","https://github.com/Ange230700/kraak-consulting/issues/69","[TASK][SET-06] Configurer CI GitHub Actions multi-apps","critical","Shared handoff","shared","handoff","Wave 1 - Socle",""
"70","https://github.com/Ange230700/kraak-consulting/issues/70","[TASK][SET-07] Mettre en place variables d'environnement et runbook local dev","high","Shared handoff","shared","handoff","Wave 1 - Socle",""
"71","https://github.com/Ange230700/kraak-consulting/issues/71","[TASK][LIB-01] Creer packages/contracts (DTO, schema validation, versioning)","critical","Shared handoff","shared","handoff","Wave 1 - Socle",""
"72","https://github.com/Ange230700/kraak-consulting/issues/72","[TASK][LIB-02] Creer packages/domain (regles metier pures MVP)","critical","Shared handoff","shared","handoff","Wave 1 - Socle",""
"73","https://github.com/Ange230700/kraak-consulting/issues/73","[TASK][LIB-03] Creer packages/api-client (typed client web/mobile vers API)","high","Shared handoff","shared","handoff","Wave 1 - Socle",""
"74","https://github.com/Ange230700/kraak-consulting/issues/74","[TASK][LIB-04] Ajouter tests unitaires libs + guideline de publication interne","high","Shared handoff","shared","handoff","Wave 1 - Socle",""
"75","https://github.com/Ange230700/kraak-consulting/issues/75","[TASK][WEB-01] Implementer pages core (Accueil, A propos, Services, Programmes, Contact)","critical","Lane A - Web public","web","independent","Wave 3A - Site public",""
"76","https://github.com/Ange230700/kraak-consulting/issues/76","[TASK][WEB-02] Integrer formulaires de contact et CTA conversion","critical","Lane A - Web public","web","independent","Wave 3A - Site public",""
"77","https://github.com/Ange230700/kraak-consulting/issues/77","[TASK][WEB-03] Ajouter SEO technique (meta, sitemap, robots, Open Graph)","critical","Lane A - Web public","web","independent","Wave 3A - Site public",""
"78","https://github.com/Ange230700/kraak-consulting/issues/78","[TASK][WEB-04] Ajouter analytics web (PostHog/GA)","high","Lane A - Web public","web","independent","Wave 3A - Site public",""
